epoch,loss,mae,val_loss,val_mae
0,0.02865505777299404,0.11864633858203888,0.020344942808151245,0.09742064028978348
1,0.02057838998734951,0.0997612327337265,0.01970444992184639,0.09446271508932114
2,0.019696049392223358,0.09686252474784851,0.019371623173356056,0.09379404038190842
3,0.019028780981898308,0.09449730813503265,0.0190875306725502,0.09234825521707535
4,0.018621809780597687,0.09310019016265869,0.019810562953352928,0.09334872663021088
0,0.01791130006313324,0.09080452471971512,0.019111989066004753,0.0913059264421463
1,0.017575152218341827,0.08995035290718079,0.019034793600440025,0.09102074056863785
2,0.017392700538039207,0.0891774445772171,0.018995748832821846,0.09093412011861801
3,0.01733538508415222,0.0890328660607338,0.01897897757589817,0.09088308364152908
4,0.017299935221672058,0.08887352049350739,0.01898263581097126,0.09081614762544632
